overallintergrationUnit_id,name,totalIntergrationLevel,totalIntergrationNo,validatedateend
overId1,字节,0级,编号1,2025-10-01 08:00:00+08:00:00
overId2,百度,0级,编号1,2025-11-02 08:00:00+08:00:00
overId3,华为技术,0级,编号1,2025-12-03 08:00:00+08:00:00
overId4,用友,0级,编号1,2025-05-04 08:00:00+08:00:00
overId5,金蝶,0级,编号1,2025-04-05 08:00:00+08:00:00
overId6,数码,0级,编号1,2025-06-06 08:00:00+08:00:00
overId7,深圳,0级,编号2,2025-03-07 08:00:00+08:00:00
overId8,中科院,0级,编号2,2025-09-08 08:00:00+08:00:00
overId9,海云,0级,编号3,2025-05-09 08:00:00+08:00:00
overId10,东软,0级,编号4,2025-10-10 08:00:00+08:00:00
