netid,networkType,netSecretLevel,useHours,operationType,cpStore,haveUnidrectionImport,name
netid1,企业,第二级,2023/10/10,虚拟化,85.5,是,网1
netid2,自行研发,第三级,2023/10/11,服务器虚拟化,85.5,是,网2
netid3,企业,第二级,2023/10/12,服务器虚拟机化,85.5,是,网3
netid4,自行研发,第三级,2023/10/13,服务器虚拟机化,85.5,是,网4
netid5,企业,第二级,2023/10/14,服务器虚拟机化,85.5,是,网5
netid6,自行研发,第三级,2023/10/15,服务器虚拟机化,85.5,是,网6
netid7,企业,第二级,2023/10/16,服务器虚拟机化,85.5,是,网7
netid8,自行研发,第三级,2023/10/17,服务器虚拟机化,85.5,是,网8
netid9,企业,第二级,2023/10/18,服务器虚拟机化,85.5,是,网9
netid10,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网10
netid11,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网11
netid12,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网12
netid13,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网13
netid14,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网14
netid15,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网15
netid16,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网16
netid17,企业,第三级,2023/10/19,服务器虚拟机化,85.5,是,网17
netid18,企业,第三级,2023/10/19,服务器虚拟机化,85.5,是,网18
netid19,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网19
netid20,自行研发,第三级,2023/10/19,服务器虚拟机化,85.5,是,网20
